"summoner-name","css-1oq0a1y","w","l","text"
"PwVx Hc9999na","1,724 LP","255W","168L","60%"
"c2 meteos","1,718 LP","593W","487L","55%"
"Wakanda f0rever","1,684 LP","136W","61L","69%"
"MU APA","1,670 LP","351W","262L","57%"
"SiddyWiddy123","1,623 LP","290W","204L","59%"
"Twitchtv Cupic","1,601 LP","354W","272L","57%"
"winnie poohbear","1,522 LP","580W","482L","55%"
"Topo","1,508 LP","470W","395L","54%"
"Fishlord","1,499 LP","689W","604L","53%"
"zeyzal7","1,478 LP","234W","162L","59%"
"Wx Mjm978244659","1,453 LP","225W","172L","57%"
"Pentaless","1,391 LP","502W","430L","54%"
"dog kachu","1,390 LP","518W","445L","54%"
"winstxn","1,326 LP","295W","246L","55%"
"100 Tenacity","1,304 LP","298W","227L","57%"
"VEGETOOOOOOOOOOO","1,304 LP","151W","97L","61%"
"duoking1","1,291 LP","246W","184L","57%"
"Davemon","1,282 LP","268W","209L","56%"
"TTV KoKooPuffs","1,266 LP","421W","352L","54%"
"Samikin","1,257 LP","381W","311L","55%"
"Nikkone","1,256 LP","257W","195L","57%"
"ctrI c","1,255 LP","164W","117L","58%"
"Rebopah","1,250 LP","231W","164L","58%"
"FORA999","1,242 LP","198W","127L","61%"
"100 Sword","1,240 LP","344W","283L","55%"
"known win trader","1,239 LP","351W","292L","55%"
"the pob","1,232 LP","579W","515L","53%"
"Dun","1,224 LP","331W","273L","55%"
"SkyTec18","1,223 LP","233W","181L","56%"
"Ablazeolive","1,222 LP","297W","243L","55%"
"GRIZZLEY","1,222 LP","326W","267L","55%"
"wallﬂower","1,220 LP","114W","60L","66%"
"wechat Hc9999na","1,219 LP","309W","236L","57%"
"gumaguma12","1,215 LP","108W","59L","65%"
"Iinks","1,210 LP","556W","486L","53%"
"RoseThorn","1,208 LP","362W","300L","55%"
"Sarcasm1","1,207 LP","284W","231L","55%"
"nýchta","1,207 LP","290W","235L","55%"
"Repobah","1,205 LP","141W","79L","64%"
"rocks908","1,203 LP","587W","529L","53%"
"LFT dtro18","1,199 LP","608W","537L","53%"
"ƒortunate","1,195 LP","216W","149L","59%"
"TE AMO KARLA","1,187 LP","472W","402L","54%"
"niinim","1,184 LP","653W","604L","52%"
"ScrubNoob","1,182 LP","372W","308L","55%"
"Prestige Bot","1,177 LP","199W","147L","58%"
"Himejima Gyoumei","1,173 LP","279W","216L","56%"
"One Dan","1,170 LP","475W","417L","53%"
"1nori","1,167 LP","322W","266L","55%"
"lqs1","1,167 LP","393W","346L","53%"
"lolDaddyVladdy","1,161 LP","349W","298L","54%"
"Trixter2","1,161 LP","896W","838L","52%"
"KryRa","1,160 LP","231W","179L","56%"
"IlllIIIlllIIIll","1,152 LP","241W","191L","56%"
"goo1500","1,151 LP","312W","249L","56%"
"TLHonda Santorin","1,145 LP","174W","136L","56%"
"TTV Pocket Rhino","1,144 LP","202W","152L","57%"
"pizzaman007","1,143 LP","460W","413L","53%"
"KryRa2","1,143 LP","219W","162L","57%"
"CLG poome","1,141 LP","217W","184L","54%"
"Livatious","1,139 LP","352W","289L","55%"
"adc hunter","1,135 LP","224W","179L","56%"
"N L","1,133 LP","161W","127L","56%"
"rklckp251","1,120 LP","301W","246L","55%"
"Bei","1,116 LP","184W","136L","57%"
"xianbaowei","1,116 LP","461W","403L","53%"
"FLY Yuuji","1,116 LP","423W","368L","53%"
"Bazz B","1,115 LP","268W","217L","55%"
"The Tank Man","1,114 LP","916W","876L","51%"
"lunacia","1,110 LP","482W","427L","53%"
"TL Honda CoreJJ","1,105 LP","239W","187L","56%"
"Ka2owo","1,104 LP","293W","204L","59%"
"IamaNewby","1,104 LP","266W","202L","57%"
"tibrewxA","1,102 LP","302W","235L","56%"
"Busio3","1,100 LP","474W","427L","53%"
"iNaofu","1,098 LP","155W","130L","54%"
"Competition9","1,096 LP","643W","583L","52%"
"CaptBear","1,096 LP","243W","194L","56%"
"Smoothie","1,096 LP","453W","390L","54%"
"Daption2","1,080 LP","827W","779L","51%"
"Dragoon","1,079 LP","319W","272L","54%"
"LF Uwaterloo GF","1,078 LP","405W","360L","53%"
"Haboper","1,071 LP","161W","104L","61%"
"5tunt","1,070 LP","339W","294L","54%"
"rovex7","1,069 LP","442W","384L","54%"
"feather of truth","1,068 LP","318W","255L","55%"
"10 iQ PLAYER","1,067 LP","173W","119L","59%"
"TabulaRasaJG","1,065 LP","499W","450L","53%"
"EU Red","1,055 LP","238W","194L","55%"
"ASTROBOY99","1,053 LP","384W","333L","54%"
"Zyko","1,052 LP","574W","529L","52%"
"twtv IMissedMyQ","1,050 LP","1247W","1183L","51%"
"Mixtsure","1,050 LP","510W","451L","53%"
"Augustine","1,048 LP","191W","152L","56%"
"Dr Pebba","1,047 LP","459W","411L","53%"
"nxi","1,046 LP","285W","227L","56%"
"Peter Zezima","1,045 LP","317W","265L","54%"
"DrewDozer","1,044 LP","297W","248L","54%"
"big dacko","1,043 LP","416W","363L","53%"
"Karhus","1,039 LP","104W","73L","59%"